# Compatibility baseline. Each row is exercised through the compiled jails binary with a fake build tool.
# build	command	outcome	evidence
maven	test	success	tool:mvn test
gradle	test	success	tool:gradle test
maven	test --fast	success	stdout:normalized to auto|tool:mvn test
gradle	test --fast	success	stdout:all tests in scope|stdout:compiled test outputs are stale|tool:gradle test
maven	testd --status	success	stdout:testd: not running
gradle	testd --status	success	stdout:testd: not running
maven	run --launcher build-tool	success	tool:mvn spring-boot:run
gradle	run --launcher build-tool	success	tool:gradle bootRun
maven	run --launcher build-tool --watch	success	tool:mvn spring-boot:run
gradle	run --launcher build-tool --watch	success	tool:gradle --continuous bootRun
maven	watch	refused	stderr:unrecognized subcommand 'watch'
gradle	watch	refused	stderr:unrecognized subcommand 'watch'
