# Compatibility roots. `reserved` means the identifier is allocated but no reader or writer ships yet.
# surface	identifier	status	owner	unknown-version behaviour
application_manifest	schema=1	current	jails CLI	refuse before planning; instruct upgrade
test_daemon	jails.testd.v1	compatibility	jails-drive + JailsTestDaemon.java	refuse reply/request; instruct upgrade
test_daemon_v2	jails.testd.v2	current	jails-protocol + jails-drive + JailsTestDaemon.java	length prefix, canonical codec, authenticated project binding
sql_contract	jails.sql-contract.v1	reserved	jails-protocol	no reader or writer exists yet
ledger_envelope	schema=2	current	jails-protocol	refuse before payload decode; instruct upgrade
ledger_payload_v1	jails-ledger-payload-1	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v2	jails-ledger-payload-2	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v3	jails-ledger-payload-3	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v4	jails-ledger-payload-4	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v5	jails-ledger-payload-5	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v6	jails-ledger-payload-6	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v7	jails-ledger-payload-7	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v8	jails-ledger-payload-8	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v9	jails-ledger-payload-9	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v10	jails-ledger-payload-10	superseded	jails-protocol	refuse by name before payload decode; no translation exists
ledger_payload_v11	jails-ledger-payload-11	current	jails-protocol	refuse before payload decode; instruct upgrade
transaction_journal	JAILS-JOURNAL-1\0	current	jails-commit	refuse before recovery; instruct upgrade
transaction_receipt	JAILS-RECEIPT-1\0	current	jails-commit	refuse before acceptance; instruct upgrade
prepared_plan	jails.prepared-plan.v1	current	jails-engine	refuse unknown schema/protocol/tool version before lock or project write
