# command	owner crate	side-effect class	entry point
about	jails-project	read-only	project::about
new	jails	project-create	new::new
new-cli	jails	project-create	new::new_cli
app	jails	dispatch-only	app::run
app init	jails	one-shot-write	app::init
app plan	jails	read-only	app::replay (pretend)
app apply	jails	project-mutation	app::replay
model	jails	dispatch-only	model_command::run
model check	jails-model	read-only	model_command::check
model fmt	jails	project-mutation-or-read-only	model_command::format
model plan	jails-compiler/jails-workspace	read-only+optional-report-output	model_command::plan
model apply	jails-workspace	project-mutation	model_command::apply
model eject	jails	project-mutation	model_eject::run
model explain	jails	read-only	model_explain::run
model init	jails	project-mutation	model_init::run
generate	jails	project-mutation	model_generate_jdl::run
add	jails	project-mutation	model_capability::add
add dependency	jails	project-mutation	model_capability::add_dependency
sync	jails	project-mutation	model_command::sync
remove	jails	project-mutation	model_capability::remove
remove dependency	jails	project-mutation	model_capability::remove_dependency
remove fast-test	jails	project-mutation	model_capability::remove_fast_test
set	jails	project-mutation	model_setting::set
unset	jails	project-mutation	model_setting::unset
start	jails-project	service-lifecycle	compose::start
stop	jails-project	service-lifecycle	compose::stop_cmd
src	jails-report	read-only	source::src
bench	jails-drive	external-process	bench::bench
adopt	jails	one-shot-write	adopt::layout
adopt resource	jails	project-mutation	adopt::resource
doctor	jails-report	read-only	doctor::doctor
why	jails-report	read-only+external-process	why::command
stats	jails-project	read-only	inspect::stats
notes	jails-project	read-only	inspect::notes
lint	jails-drive	read-only+external-process	lint::lint
routes	jails-project	read-only	inspect::routes
beans	jails-project	read-only	inspect::beans
migrate	jails-drive	external-process+service-lifecycle	migrate::check
kafka	jails-drive	dispatch-only	kafka::kafka
kafka topics	jails-drive	broker-read+service-lifecycle	kafka::kafka
kafka describe	jails-drive	broker-read+service-lifecycle	kafka::kafka
kafka send	jails-drive	broker-mutation+service-lifecycle	kafka::kafka
kafka poison	jails-drive	broker-mutation+service-lifecycle	kafka::kafka
kafka tail	jails-drive	broker-read+service-lifecycle	kafka::kafka
kafka dlt	jails-drive	broker-read+service-lifecycle	kafka::kafka
kafka lag	jails-drive	broker-read+service-lifecycle	kafka::kafka
kafka reset	jails-drive	broker-mutation+service-lifecycle	kafka::kafka
db	jails-drive	external-process+service-lifecycle	console::db
console	jails	external-process	tool_command::console
rename	jails	one-shot-write	rename_source::run
rename resource	jails	project-mutation	model_rename::run
destroy	jails	project-mutation	model_destroy::run
resource	jails	dispatch-only	main command dispatch
resource status	jails	read-only	model_status::run
resource revive	jails	project-mutation	model_destroy::revive
resource repair	jails	project-mutation	model_command::repair
resource field	jails	dispatch-only	model_resource::run
resource field add	jails	project-mutation	model_resource::run
resource field rename	jails	project-mutation	model_field_evolution::rename
resource field type	jails	project-mutation	model_field_evolution::change_type
resource field nullability	jails	project-mutation	model_field_evolution::set_nullability
resource field drop	jails	project-mutation	model_field_evolution::drop_field
resource index	jails	dispatch-only	model_index::run
resource index add	jails	project-mutation	model_index::add
resource index remove	jails	project-mutation	model_index::remove
test	jails-drive	external-process+conditional-project-mutation	run::test
test daemon	jails-drive	dispatch-only	main command dispatch
test daemon restart	jails-drive	machine-daemon+external-process	testd::testd
test daemon status	jails-drive	read-only	testd::testd
test daemon stop	jails-drive	machine-daemon	testd::testd
testd	jails-drive	machine-daemon+external-process	testd::testd
build	jails-drive	external-process	run::build
clean	jails-drive	external-process	run::clean
fmt	jails-drive	project-mutation+external-process	run::format_project
check	jails-drive	external-process	run::check
modernize	jails	one-shot-write	modernize::run
mvn	jails-drive	external-process	run::mvn
gradle	jails-drive	external-process	run::gradle
run	jails-drive	external-process+service-lifecycle	run::run/run::watch
setup	jails-report	machine-mutation	doctor::setup
explain	jails-report	read-only	explain::explain
commands	jails-report	read-only	commands::commands
completion	jails	read-only	clap_complete::generate
editor	jails	dispatch-only	editor_command::run
editor handshake	jails	read-only	editor_command::run
editor complete	jails	read-only	editor_command::run
editor symbols	jails	read-only	editor_command::run
editor diagnostics	jails	read-only+optional-external-process	editor_command::run
contract	jails	dispatch-only	contract_command::run
contract emit	jails	read-only	contract_command::run
contract check	jails	read-only+external-process	contract_command::run
request	jails	read-only+external-process	tool_command::request
runner	jails	read-only+external-process	tool_command::runner
logs	jails	read-only+external-process	tool_command::logs
db console	jails	read-only+external-process	tool_command::db_console
architecture	jails	dispatch-only	cli::ArchitectureAction
architecture baseline	jails-drive	external-tool	baseline::freeze
